"","Rank","Song","Artist","Year"
"497","97","Bad to Me","Billy J. Kramer and The Dakotasand","1964"
"498","98","There! I've Said It Again","Bobby Vintonand","1964"
"499","99","Louie Louie","The Kingsmenand","1964"
"500","100","Needles and Pins","The Searchersand","1964"
"501","1","Wooly Bully","Sam the Sham and the Pharaohsand","1965"
"502","2","I Can't Help Myself (Sugar Pie Honey Bunch)","Four Topsand","1965"
"503","3","(I Can't Get No) Satisfaction","The Rolling Stonesand","1965"
"504","4","You Were on My Mind","We Fiveand","1965"
"505","5","You've Lost That Lovin' Feelin'","The Righteous Brothersand","1965"
"506","6","Downtown","Petula Clarkand","1965"
"507","7","Help!","The Beatlesand","1965"
"508","8","Can't You Hear My Heartbeat","Herman's Hermitsand","1965"
"509","9","Crying in the Chapel","Elvis Presleyand","1965"
"510","10","My Girl","The Temptationsand","1965"
"511","11","Help Me, Rhonda","The Beach Boysand","1965"
"512","12","King of the Road","Roger Millerand","1965"
"513","13","The Birds and the Bees","Jewel Akensand","1965"
"514","14","Hold Me, Thrill Me, Kiss Me","Mel Carterand","1965"
"515","15","Shotgun","Junior Walker and the All Starsand","1965"
"516","16","I Got You Babe","Sonny and Cherand","1965"
"517","17","This Diamond Ring","Gary Lewis and the Playboysand","1965"
"518","18","The 'In' Crowd","Ramsey Lewis Trioand","1965"
"519","19","Mrs. Brown, You've Got a Lovely Daughter","Herman's Hermitsand","1965"
"520","20","Stop! In the Name of Love","The Supremesand","1965"
"521","21","Unchained Melody","The Righteous Brothersand","1965"
"522","22","Silhouettes","Herman's Hermitsand","1965"
"523","23","I'll Never Find Another You","The Seekersand","1965"
"524","24","Cara Mia","Jay and the Americansand","1965"
"525","25","Mr. Tambourine Man","The Byrdsand","1965"
"526","26","Cast Your Fate to the Wind","Sounds Orchestraland","1965"
"527","27","Yes, I'm Ready","Barbara Masonand","1965"
"528","28","What's New Pussycat?","Tom Jonesand","1965"
"529","29","Eve of Destruction","Barry McGuireand","1965"
"530","30","Hang On Sloopy","The McCoysand","1965"
"531","31","Ticket to Ride","The Beatlesand","1965"
"532","32","Red Roses for a Blue Lady","Bert Kaempfertand","1965"
"533","33","Papa's Got a Brand New Bag","James Brownand","1965"
"534","34","Game of Love","Wayne Fontana and The Mindbendersand","1965"
"535","35","The Name Game","Shirley Ellisand","1965"
"536","36","I Know a Place","Petula Clarkand","1965"
"537","37","Back in My Arms Again","The Supremesand","1965"
"538","38","Baby I'm Yours","Barbara Lewisand","1965"
"539","39","The Jolly Green Giant","The Kingsmenand","1965"
"540","40","Hush, Hush, Sweet Charlotte","Patti Pageand","1965"
"541","41","Like a Rolling Stone","Bob Dylanand","1965"
"542","42","I'm Telling You Now","Freddie and the Dreamersand","1965"
"543","43","Ferry Cross the Mersey","Gerry and the Pacemakersand","1965"
"544","44","Just Once in My Life","The Righteous Brothersand","1965"
"545","45","The Seventh Son","Johnny Riversand","1965"
"546","46","I'm Henry the Eighth, I Am","Herman's Hermitsand","1965"
"547","47","A Walk in the Black Forest","Horst Jankowskiand","1965"
"548","48","For Your Love","The Yardbirdsand","1965"
"549","49","California Girls","The Beach Boysand","1965"
"550","50","Go Now","The Moody Bluesand","1965"
"551","51","Goldfinger","Shirley Basseyand","1965"
"552","52","Down in the Boondocks","Billy Joe Royaland","1965"
"553","53","Baby the Rain Must Fall","Glenn Yarbroughand","1965"
"554","54","Catch Us If You Can","The Dave Clark Fiveand","1965"
"555","55","Eight Days a Week","The Beatlesand","1965"
"556","56","Just a Little","The Beau Brummelsand","1965"
"557","57","You Turn Me On","Ian Whitcomband","1965"
"558","58","I'll Be Doggone","Marvin Gayeand","1965"
"559","59","Save Your Heart for Me","Gary Lewis and the Playboysand","1965"
"560","60","Tired of Waiting for You","The Kinksand","1965"
"561","61","Count Me In","Gary Lewis and the Playboysand","1965"
"562","62","All Day and All of the Night","The Kinksand","1965"
"563","63","What the World Needs Now Is Love","Jackie DeShannonand","1965"
"564","64","It's Not Unusual","Tom Jonesand","1965"
"565","65","She's About a Mover","Sir Douglas Quintetand","1965"
"566","66","Shake","Sam Cookeand","1965"
"567","67","Wonderful World","Herman's Hermitsand","1965"
"568","68","Nowhere to Run","Martha and the Vandellasand","1965"
"569","69","Heart Full of Soul","The Yardbirdsand","1965"
"570","70","Love Potion No. 9","The Searchersand","1965"
"571","71","Laurie (Strange Things Happen)","Dickey Leeand","1965"
"572","72","Baby Don't Go","Sonny and Cherand","1965"
"573","73","It Ain't Me Babe","The Turtlesand","1965"
"574","74","Tell Her No","The Zombiesand","1965"
"575","75","I Go to Pieces","Peter and Gordonand","1965"
"576","76","Red Roses for a Blue Lady","Vic Danaand","1965"
"577","77","Don't Just Stand There","Patty Dukeand","1965"
"578","78","The Tracks of My Tears","The Miraclesand","1965"
"579","79","Too Many Rivers","Brenda Leeand","1965"
"580","80","I Like It Like That","The Dave Clark Fiveand","1965"
"581","81","Little Things","Bobby Goldsboroand","1965"
"582","82","True Love Ways","Peter and Gordonand","1965"
"583","83","It's the Same Old Song","Four Topsand","1965"
"584","84","You've Got Your Troubles","The Fortunesand","1965"
"585","85","Hold What You've Got","Joe Texand","1965"
"586","86","We Gotta Get Out of This Place","The Animalsand","1965"
"587","87","Laugh, Laugh","The Beau Brummelsand","1965"
"588","88","The Last Time","The Rolling Stonesand","1965"
"589","89","Do You Believe in Magic","The Lovin' Spoonfuland","1965"
"590","90","All I Really Want to Do","Cherand","1965"
"591","91","Take Me Back","Little Anthony and the Imperialsand","1965"
"592","92","I Want Candy","The Strangelovesand","1965"
"593","93","Ooo Baby Baby","The Miraclesand","1965"
"594","94","Laugh at Me","Sonnyand","1965"
"595","95","Treat Her Right","Roy Headand","1965"
"596","96","The Race Is On","Jack Jonesand","1965"
"597","97","I'm a Fool","Dino, Desi and Billyand","1965"
"598","98","The Boy from New York City","The Ad Libsand","1965"
"599","99","Keep Searchin' (We'll Follow the Sun)","Del Shannonand","1965"
"600","100","How Sweet It Is (To Be Loved by You)","Marvin Gayeand","1965"
"601","1","California Dreamin'","The Mamas and the Papasand","1966"
"602","2","96 Tears","? and the Mysteriansand","1966"
"603","3","What Becomes of the Brokenhearted","Jimmy Ruffinand","1966"
"604","4","Last Train to Clarksville","The Monkeesand","1966"
"605","5","Reach Out I'll Be There","Four Topsand","1966"
"606","6","These Boots Are Made for Walkin'","Nancy Sinatraand","1966"
"607","7","Cherish","The Associationand","1966"
"608","8","Strangers in the Night","Frank Sinatraand","1966"
"609","9","Kicks","Paul Revere and the Raidersand","1966"
"610","10","The Ballad of the Green Berets","SSgt Barry Sadlerand","1966"
"611","11","Good Lovin'","The Young Rascalsand","1966"
"612","12","(You're My) Soul and Inspiration","The Righteous Brothersand","1966"
"613","13","You Can't Hurry Love","The Supremesand","1966"
"614","14","Sunny","Bobby Hebband","1966"
"615","15","See You in September","The Happeningsand","1966"
"616","16","Li'l Red Riding Hood","Sam the Sham and the Pharaohsand","1966"
"617","17","Lightnin' Strikes","Lou Christieand","1966"
"618","18","Poor Side of Town","Johnny Riversand","1966"
"619","19","Working in the Coal Mine","Lee Dorseyand","1966"
"620","20","A Groovy Kind of Love","The Mindbendersand","1966"
"621","21","You Don't Have to Say You Love Me","Dusty Springfieldand","1966"
"622","22","Sunshine Superman","Donovanand","1966"
"623","23","Born a Woman","Sandy Poseyand","1966"
"624","24","Monday, Monday","The Mamas and the Papasand","1966"
"625","25","Red Rubber Ball","The Cyrkleand","1966"
"626","26","Born Free","Roger Williamsand","1966"
"627","27","Walk Away Ren<U+00E9>e","The Left Bankeand","1966"
"628","28","Cool Jerk","The Capitolsand","1966"
"629","29","B-A-B-Y","Carla Thomasand","1966"
"630","30","Hanky Panky","Tommy James and the Shondellsand","1966"
"631","31","When a Man Loves a Woman","Percy Sledgeand","1966"
"632","32","Time Won't Let Me","The Outsidersand","1966"
"633","33","Bus Stop","The Holliesand","1966"
"634","34","Paint It Black","The Rolling Stonesand","1966"
"635","35","Summer in the City","The Lovin' Spoonfuland","1966"
"636","36","I'm So Lonesome I Could Cry","B. J. Thomas and the Triumphsand","1966"
"637","37","My Love","Petula Clarkand","1966"
"638","38","Daydream","The Lovin' Spoonfuland","1966"
"639","39","Ain't Too Proud to Beg","The Temptationsand","1966"
"640","40","Wild Thing","The Troggsand","1966"
"641","41","Elusive Butterfly","Bob Lindand","1966"
"642","42","I Am a Rock","Simon and Garfunkeland","1966"
"643","43","Dirty Water","The Standellsand","1966"
"644","44","Hooray for Hazel","Tommy Roeand","1966"
"645","45","Crying Time","Ray Charlesand","1966"
"646","46","Sweet Pea","Tommy Roeand","1966"
"647","47","Secret Agent Man","Johnny Riversand","1966"
"648","48","Did You Ever Have to Make Up Your Mind?","The Lovin' Spoonfuland","1966"
"649","49","We Can Work It Out","The Beatlesand","1966"
"650","50","Homeward Bound","Simon and Garfunkeland","1966"
"651","51","Uptight (Everything's Alright)","Stevie Wonderand","1966"
"652","52","Bang Bang (My Baby Shot Me Down)","Cherand","1966"
"653","53","Sloop John B","The Beach Boysand","1966"
"654","54","19th Nervous Breakdown","The Rolling Stonesand","1966"
"655","55","Wipe Out","The Surfarisand","1966"
"656","56","Psychotic Reaction","Count Fiveand","1966"
"657","57","Paperback Writer","The Beatlesand","1966"
"658","58","Beauty Is Only Skin Deep","The Temptationsand","1966"
"659","59","No Matter What Shape (Your Stomach's In)","The T-Bonesand","1966"
"660","60","Barefootin'","Robert Parkerand","1966"
"661","61","Just Like Me","Paul Revere and the Raidersand","1966"
"662","62","Love Makes the World Go Round","Deon Jacksonand","1966"
"663","63","The Pied Piper","Crispian St. Petersand","1966"
"664","64","Somewhere My Love","Ray Conniff Singersand","1966"
"665","65","Almost Persuaded","David Houstonand","1966"
"666","66","If I Were a Carpenter","Bobby Darinand","1966"
"667","67","Don't Mess with Bill","The Marvelettesand","1966"
"668","68","Cherry, Cherry","Neil Diamondand","1966"
"669","69","Message to Michael","Dionne Warwickand","1966"
"670","70","Love Is a Hurtin' Thing","Lou Rawlsand","1966"
"671","71","Gloria","The Shadows of Knightand","1966"
"672","72","My World Is Empty Without You","The Supremesand","1966"
"673","73","Barbara Ann","The Beach Boysand","1966"
"674","74","Rainy Day Women #12 & 35","Bob Dylanand","1966"
"675","75","Guantanamera","The Sandpipersand","1966"
"676","76","I'm Your Puppet","James and Bobby Purifyand","1966"
"677","77","Land of 1000 Dances","Wilson Pickettand","1966"
"678","78","Oh How Happy","The Shades of Blueand","1966"
"679","79","Woman","Peter and Gordonand","1966"
"680","80","You Baby","The Turtlesand","1966"
"681","81","Sweet Talkin' Guy","The Chiffonsand","1966"
"682","82","Five O'Clock World","The Voguesand","1966"
"683","83","Black Is Black","Los Bravosand","1966"
"684","84","Nowhere Man","The Beatlesand","1966"
"685","85","Dandy","Herman's Hermitsand","1966"
"686","86","Baby Scratch My Back","Slim Harpoand","1966"
"687","87","She's Just My Style","Gary Lewis and the Playboysand","1966"
"688","88","The More I See You","Chris Montezand","1966"
"689","89","I Fought the Law","The Bobby Fuller Fourand","1966"
"690","90","Yellow Submarine","The Beatlesand","1966"
"691","91","Hungry","Paul Revere and the Raidersand","1966"
"692","92","Zorba the Greek","Herb Alpert and the Tijuana Brassand","1966"
"693","93","Shapes of Things","The Yardbirdsand","1966"
"694","94","Along Comes Mary","The Associationand","1966"
"695","95","634-5789 (Soulsville, U.S.A.)","Wilson Pickettand","1966"
"696","96","Devil with a Blue Dress On/Good Golly, Miss Molly","Mitch Ryder and The Detroit Wheelsand","1966"
"697","97","Wouldn't It Be Nice","The Beach Boysand","1966"
"698","98","This Old Heart of Mine","The Isley Brothersand","1966"
"699","99","Green Grass","Gary Lewis and the Playboysand","1966"
"700","100","A Well Respected Man","The Kinksand","1966"
"701","1","To Sir With Love","Luluand","1967"
"702","2","The Letter","The Box Topsand","1967"
"703","3","Ode to Billie Joe","Bobbie Gentryand","1967"
"704","4","Windy","The Associationand","1967"
"705","5","I'm a Believer","The Monkeesand","1967"
"706","6","Light My Fire","The Doorsand","1967"
"707","7","Somethin' Stupid","Frank and Nancy Sinatraand","1967"
"708","8","Happy Together","The Turtlesand","1967"
"709","9","Groovin'","The Young Rascalsand","1967"
"710","10","Can't Take My Eyes Off You","Frankie Valliand","1967"
"711","11","Little Bit O' Soul","The Music Explosionand","1967"
"712","12","I Think We're Alone Now","Tommy James and the Shondellsand","1967"
"713","13","Respect","Aretha Franklinand","1967"
"714","14","I Was Made to Love Her","Stevie Wonderand","1967"
"715","15","Come Back When You Grow Up","Bobby Veeand","1967"
"716","16","Kind of a Drag","The Buckinghamsand","1967"
"717","17","Sweet Soul Music","Arthur Conleyand","1967"
"718","18","Expressway to Your Heart","Soul Survivorsand","1967"
"719","19","Soul Man","Sam and Daveand","1967"
"720","20","Never My Love","The Associationand","1967"
"721","21","Apples, Peaches, Pumpkin Pie","Jay and the Techniquesand","1967"
"722","22","Come On Down to My Boat","Every Mother's Sonand","1967"
"723","23","Incense and Peppermints","Strawberry Alarm Clockand","1967"
"724","24","Ruby Tuesday","The Rolling Stonesand","1967"
"725","25","It Must Be Him","Vikki Carrand","1967"
"726","26","Love Is Here and Now You're Gone","The Supremesand","1967"
"727","27","For What It's Worth","Buffalo Springfieldand","1967"
"728","28","Gimme Little Sign","Brenton Woodand","1967"
"729","29","The Happening","The Supremesand","1967"
"730","30","All You Need Is Love","The Beatlesand","1967"
"731","31","Release Me","Engelbert Humperdinckand","1967"
"732","32","Your Precious Love","Marvin Gaye and Tammi Terrelland","1967"
"733","33","Somebody to Love","Jefferson Airplaneand","1967"
"734","34","Get on Up","The Esquiresand","1967"
"735","35","Brown Eyed Girl","Van Morrisonand","1967"
"736","36","Jimmy Mack","Martha and the Vandellasand","1967"
"737","37","I Got Rhythm","The Happeningsand","1967"
"738","38","A Whiter Shade of Pale","Procol Harumand","1967"
"739","39","Don't You Care","The Buckinghamsand","1967"
"740","40","Then You Can Tell Me Goodbye","The Casinosand","1967"
"741","41","Reflections","The Supremesand","1967"
"742","42","On a Carousel","The Holliesand","1967"
"743","43","Please Love Me Forever","Bobby Vintonand","1967"
"744","44","Alfie","Dionne Warwickand","1967"
"745","45","Silence Is Golden","The Tremeloesand","1967"
"746","46","My Cup Runneth Over","Ed Amesand","1967"
"747","47","Up, Up and Away","The 5th Dimensionand","1967"
"748","48","San Francisco (Be Sure to Wear Flowers in Your Hair)","Scott McKenzieand","1967"
"749","49","The Rain, the Park & Other Things","The Cowsillsand","1967"
"750","50","There's a Kind of Hush","Herman's Hermitsand","1967"
"751","51","Mercy, Mercy, Mercy","The Buckinghamsand","1967"
"752","52","This Is My Song","Petula Clarkand","1967"
"753","53","(Your Love Keeps Lifting Me) Higher and Higher","Jackie Wilsonand","1967"
"754","54","I've Been Lonely Too Long","The Young Rascalsand","1967"
"755","55","Penny Lane","The Beatlesand","1967"
"756","56","You're My Everything","The Temptationsand","1967"
"757","57","Georgy Girl","The Seekersand","1967"
"758","58","Western Union","Five Americansand","1967"
"759","59","Baby I Love You","Aretha Franklinand","1967"
"760","60","A Little Bit Me, a Little Bit You","The Monkeesand","1967"
"761","61","California Nights","Lesley Goreand","1967"
"762","62","Dedicated to the One I Love","The Mamas and the Papasand","1967"
"763","63","How Can I Be Sure","The Young Rascalsand","1967"
"764","64","Carrie Anne","The Holliesand","1967"
